total_harga_pembelian,sumber,browser,gender,umur,selisih_waktu,day_regis,month_regis,year_regis,hour_regis,day_buy,month_buy,year_buy,hour_buy,sama,sama_ip,fraud
14,0,3,0,38,-2691.5666666666666,7,6,2015,12,27,9,2015,16,1,1,0
11,2,0,1,36,-2830.866666666667,1,5,2015,15,27,8,2015,14,1,1,0
52,2,2,1,26,-1812.7666666666669,29,3,2015,18,13,6,2015,6,1,1,0
13,2,4,0,38,-477.0,29,1,2015,0,17,2,2015,21,1,1,0
23,1,4,0,19,-1021.7833333333332,17,1,2015,19,1,3,2015,9,1,1,0
39,0,0,0,37,-2829.383333333333,4,8,2015,5,30,11,2015,3,1,1,0
30,2,2,1,39,0.0,4,1,2015,7,4,1,2015,7,1,1,1
41,1,4,0,38,-133.26666666666668,11,3,2015,3,16,3,2015,16,1,1,0
35,0,1,0,25,-980.8666666666668,10,8,2015,2,19,9,2015,23,1,1,0
14,0,0,0,34,-1998.6666666666667,14,3,2015,9,5,6,2015,15,1,1,0
47,0,4,0,18,-1745.0166666666669,21,6,2015,2,1,9,2015,19,1,1,0
36,1,0,1,19,-2422.9333333333334,11,6,2015,11,20,9,2015,10,1,1,0
23,2,4,0,37,-135.23333333333332,17,5,2015,13,23,5,2015,5,1,1,0
40,2,0,1,39,-1157.2,2,4,2015,15,20,5,2015,20,1,1,0
86,0,0,0,36,-213.4,14,2,2015,8,23,2,2015,5,1,1,1
25,2,3,0,28,-2467.983333333333,20,4,2015,0,31,7,2015,20,1,1,0
55,0,4,1,35,-2364.9333333333334,13,8,2015,21,20,11,2015,9,1,1,0
42,1,0,0,34,-2054.233333333333,24,4,2015,13,19,7,2015,3,1,1,0
44,0,1,1,31,-2433.083333333333,28,4,2015,22,8,8,2015,7,1,1,0
48,0,2,1,36,-1703.5333333333333,28,4,2015,21,8,7,2015,21,1,1,0
28,0,0,0,28,0.0,5,1,2015,3,5,1,2015,3,1,1,1
45,1,1,0,32,-2181.9,23,1,2015,23,24,4,2015,21,1,1,0
53,2,0,1,31,-1507.95,1,8,2015,1,2,10,2015,21,1,1,0
73,1,2,1,54,-46.88333333333333,27,2,2015,4,1,3,2015,3,1,1,0
43,2,2,0,34,-649.7666666666667,29,3,2015,17,25,4,2015,18,1,1,0
15,2,4,0,24,-2454.7,27,6,2015,12,7,10,2015,19,1,1,0
9,0,2,0,37,-631.4666666666667,5,7,2015,17,1,8,2015,1,1,1,0
54,2,0,0,20,-1022.1833333333332,3,2,2015,15,18,3,2015,5,1,1,0
30,0,1,1,18,-1065.9166666666667,25,5,2015,3,8,7,2015,13,1,1,0
17,2,4,0,27,-909.2,8,4,2015,8,16,5,2015,5,1,1,0
65,2,4,1,32,-2067.3,9,8,2015,0,3,11,2015,3,1,1,0
33,1,2,1,34,-1606.2833333333333,28,4,2015,15,4,7,2015,14,1,1,0
36,2,4,0,32,-1872.7833333333333,27,6,2015,18,13,9,2015,19,1,1,0
16,2,2,0,39,-2375.35,4,6,2015,8,11,9,2015,7,1,1,0
19,0,2,0,33,-1783.0666666666666,5,4,2015,3,18,6,2015,10,1,1,0
35,0,0,1,25,-317.78333333333336,7,1,2015,14,20,1,2015,19,1,1,1
12,0,2,1,36,-1862.7666666666669,6,8,2015,20,23,10,2015,11,1,1,0
72,2,0,1,34,-2726.0,30,7,2015,2,20,11,2015,16,1,1,0
36,0,0,1,20,-1198.1166666666666,20,5,2015,22,9,7,2015,21,1,1,0
30,1,4,1,28,-1222.7666666666669,24,4,2015,16,14,6,2015,15,1,1,0
21,1,2,1,33,-2397.633333333333,21,3,2015,8,29,6,2015,5,1,1,0
27,1,2,1,40,0.0,5,1,2015,9,5,1,2015,9,1,1,1
51,0,2,0,47,-1972.55,20,5,2015,11,10,8,2015,16,1,1,0
16,2,0,0,23,-2062.75,15,8,2015,22,9,11,2015,21,1,1,0
45,2,0,0,20,-678.6666666666666,20,6,2015,16,18,7,2015,23,1,1,0
42,0,4,1,26,-2831.5666666666666,28,7,2015,20,23,11,2015,20,1,1,0
44,2,2,0,22,-2437.016666666667,11,2,2015,7,23,5,2015,20,1,1,0
37,1,2,1,32,-758.8333333333334,14,8,2015,22,15,9,2015,12,1,1,0
30,2,4,1,34,-2697.2833333333333,26,7,2015,1,15,11,2015,11,1,1,0
42,0,2,0,25,-2128.0666666666666,11,8,2015,7,7,11,2015,23,1,1,0
90,2,1,0,55,-977.0,19,7,2015,12,29,8,2015,5,1,1,0
22,0,0,1,32,-66.41666666666667,17,4,2015,20,20,4,2015,15,1,1,0
22,2,4,0,27,-1112.9833333333331,19,2,2015,8,6,4,2015,17,1,1,0
61,2,0,1,46,-549.7166666666667,8,2,2015,3,3,3,2015,1,1,1,0
28,1,0,0,24,-2657.0,15,4,2015,3,3,8,2015,20,1,1,0
53,0,1,0,25,-60.23333333333333,2,2,2015,15,5,2,2015,3,1,1,0
77,0,0,1,33,-2063.0666666666666,10,5,2015,2,4,8,2015,1,1,1,0
38,2,4,0,57,-1956.95,20,4,2015,1,10,7,2015,14,1,1,0
78,1,4,1,50,-2768.2833333333333,8,1,2015,9,3,5,2015,17,1,1,1
15,0,4,1,30,-1622.7166666666667,26,4,2015,11,3,7,2015,2,1,1,0
17,0,2,0,30,-1385.8666666666666,14,2,2015,23,13,4,2015,17,1,1,0
56,2,0,0,43,-587.7833333333333,1,1,2015,23,26,1,2015,11,1,1,0
26,2,0,0,25,-107.08333333333331,7,7,2015,16,12,7,2015,3,1,1,0
70,0,1,1,31,-1125.9,28,5,2015,13,14,7,2015,11,1,1,1
17,0,0,0,41,-2696.883333333333,19,2,2015,1,11,6,2015,9,1,1,0
76,0,0,1,31,-2501.5,26,4,2015,2,8,8,2015,8,1,1,0
49,2,4,1,46,-1519.2333333333331,4,6,2015,7,6,8,2015,15,1,1,0
18,0,2,0,49,-1767.7833333333333,4,5,2015,4,16,7,2015,20,1,1,0
12,2,1,1,33,-923.2333333333332,18,3,2015,13,26,4,2015,0,1,1,0
29,2,1,0,18,-2635.5,6,1,2015,1,25,4,2015,20,1,1,0
25,2,2,1,18,-661.4,13,7,2015,5,9,8,2015,19,1,1,0
17,0,4,0,54,-276.81666666666666,4,5,2015,11,15,5,2015,23,1,1,0
20,2,4,0,33,-189.9833333333333,18,3,2015,4,26,3,2015,2,1,1,0
31,0,2,1,20,-2166.9333333333334,22,4,2015,11,21,7,2015,18,1,1,0
17,2,2,1,18,-2789.4333333333334,6,8,2015,6,30,11,2015,12,1,1,0
26,0,1,0,40,-1201.15,25,2,2015,9,16,4,2015,10,1,1,0
39,1,1,1,61,-2708.2,2,3,2015,5,23,6,2015,1,1,1,0
26,0,0,1,30,-1348.1,18,1,2015,2,15,3,2015,6,1,1,0
37,1,2,1,45,-701.5666666666667,7,2,2015,23,9,3,2015,5,1,1,0
31,0,4,1,57,-605.0166666666667,31,7,2015,15,25,8,2015,20,1,1,0
37,0,4,1,44,-1053.4333333333334,30,1,2015,12,15,3,2015,9,1,1,0
19,2,2,1,36,-2571.8,24,5,2015,13,8,9,2015,17,1,1,0
50,1,2,1,48,-113.95,5,8,2015,10,10,8,2015,4,1,1,0
38,2,2,0,48,-400.5833333333333,14,5,2015,18,31,5,2015,11,1,1,0
51,2,2,1,46,-357.53333333333336,24,6,2015,17,9,7,2015,15,1,1,0
11,0,4,1,41,-1616.3333333333333,9,5,2015,10,15,7,2015,18,1,1,0
15,1,0,1,28,-334.8833333333333,16,7,2015,21,30,7,2015,20,1,1,0
15,2,0,1,39,-571.9166666666666,9,6,2015,12,3,7,2015,8,1,1,0
25,0,0,1,27,-876.15,12,3,2015,1,17,4,2015,13,1,1,0
